,parking_kind,payed,parking_duration,lon,lat,zsname,noise_norm,leisure_norm,traffic_norm,duration_norm
3537,White Zone,1,120.0,8.546379,47.371397,Seilergraben (Mühlegasse),0.39473684210526316,0.5862068965517241,0.44909103894778263,0.06885245901639345
3538,White Zone,1,120.0,8.546133,47.37166,Seilergraben (Mühlegasse),0.05263157894736842,0.6637931034482759,0.44909103894778263,0.06885245901639345
3539,White Zone,1,120.0,8.546107,47.371421,Seilergraben (Mühlegasse),0.02631578947368421,0.6379310344827587,0.44909103894778263,0.06885245901639345
3540,White Zone,1,120.0,8.530561,47.382066,Kornhausbrücke,0.18421052631578946,0.3879310344827586,0.3585906464831792,0.06885245901639345
3541,White Zone,1,120.0,8.541845,47.368611,Quaibrücke,0.5,0.43103448275862066,0.9194986534735871,0.06885245901639345
3542,White Zone,1,120.0,8.541858,47.36877,Quaibrücke,0.5,0.43103448275862066,0.9194986534735871,0.06885245901639345
3543,White Zone,1,30.0,8.53777,47.379297,Walchebrücke,0.7631578947368421,0.3706896551724138,0.5184746125257419,0.009836065573770493
3544,White Zone,1,120.0,8.545831,47.377975,Bahnhofbrücke,0.8421052631578947,0.33620689655172414,0.20592063935552973,0.06885245901639345
3545,White Zone,1,120.0,8.544868,47.373903,Seilergraben (Mühlegasse),0.3684210526315789,0.9396551724137931,0.44909103894778263,0.06885245901639345
3546,White Zone,1,120.0,8.545023,47.373704,Seilergraben (Mühlegasse),0.21052631578947367,0.9482758620689655,0.44909103894778263,0.06885245901639345
3547,White Zone,1,120.0,8.547015,47.373586,Seilergraben (Mühlegasse),0.7631578947368421,0.5517241379310345,0.44909103894778263,0.06885245901639345
3548,White Zone,1,120.0,8.535025,47.381066,Neumühlequai (Sanität),0.2631578947368421,0.1896551724137931,0.4742230425815998,0.06885245901639345
3549,White Zone,1,120.0,8.525247,47.375322,Stauffacherstrasse (Feldstrasse),0.631578947368421,0.646551724137931,0.0570065933519952,0.06885245901639345
3550,White Zone,1,120.0,8.529841,47.37775,Gessnerallee (Usteribrücke),0.5789473684210527,0.7068965517241379,0.40713128435351204,0.06885245901639345
3551,White Zone,1,120.0,8.54064,47.368946,Quaibrücke,0.5789473684210527,0.31896551724137934,0.9194986534735871,0.06885245901639345
3552,White Zone,1,120.0,8.540422,47.368915,Quaibrücke,0.34210526315789475,0.3103448275862069,0.9194986534735871,0.06885245901639345
3553,White Zone,1,120.0,8.538658,47.376042,Uraniastrasse (Bahnhofstrasse),0.21052631578947367,0.5258620689655172,0.3904156185100031,0.06885245901639345
3554,White Zone,1,30.0,8.536046,47.37479,Gessnerallee (Usteribrücke),0.2894736842105263,0.3793103448275862,0.40713128435351204,0.009836065573770493
3555,White Zone,1,30.0,8.535976,47.374719,Gessnerallee (Usteribrücke),0.2894736842105263,0.3793103448275862,0.40713128435351204,0.009836065573770493
3556,White Zone,1,120.0,8.535712,47.372423,Talstrasse (Pelikanstrasse),0.21052631578947367,0.41379310344827586,0.23493645373015498,0.06885245901639345
3557,White Zone,1,120.0,8.535055,47.368667,Stockerstrasse (Dreikönigstrasse),0.3157894736842105,0.23275862068965517,0.10302325384685228,0.06885245901639345
3558,White Zone,1,120.0,8.536455,47.369932,Talstrasse (Pelikanstrasse),0.7368421052631579,0.3448275862068966,0.23493645373015498,0.06885245901639345
3559,White Zone,1,120.0,8.535006,47.381141,Neumühlequai (Sanität),0.2631578947368421,0.1896551724137931,0.4742230425815998,0.06885245901639345
3560,White Zone,1,120.0,8.547236,47.373319,Seilergraben (Mühlegasse),0.7105263157894737,0.3706896551724138,0.44909103894778263,0.06885245901639345
3561,White Zone,1,120.0,8.547196,47.373368,Seilergraben (Mühlegasse),0.8157894736842105,0.5344827586206896,0.44909103894778263,0.06885245901639345
3562,White Zone,1,30.0,8.526126,47.372664,Schimmelstrasse (Werdstrasse),0.5789473684210527,0.41379310344827586,0.6429165349465716,0.009836065573770493
